AN_REFERENCIA;NM_MUNICIPIO_IES_CAPES;SG_UF_IES_CAPES;NM_REGIAO_IES_CAPES;CD_IES_CAPES;NM_IES_CAPES;SG_IES_CAPES;NM_NATUREZA_JURIDICA;SG_PROGRAMA_FOMENTO;CD_PROGRAMA;NM_PROGRAMA;NM_GRANDE_AREA;NM_AREA_AVALIACAO;NM_AREA_CONHECIMENTO;NM_NIVEL_PADRAO;QT_BOLSAS_CONCEDIDAS
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016041P1;MATEMÁTICA;CIÊNCIAS EXATAS E DA TERRA;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA;MATEMÁTICA;DOUTORADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016044P0;MICROBIOLOGIA, PARASITOLOGIA E PATOLOGIA;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS III;MICROBIOLOGIA;DOUTORADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016044P0;MICROBIOLOGIA, PARASITOLOGIA E PATOLOGIA;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS III;MICROBIOLOGIA;MESTRADO;2
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016045P7;ENFERMAGEM;CIÊNCIAS DA SAÚDE;ENFERMAGEM;ENFERMAGEM;DOUTORADO;2
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016047P0;EDUCAÇÃO FÍSICA;CIÊNCIAS DA SAÚDE;EDUCAÇÃO FÍSICA;EDUCAÇÃO FÍSICA;DOUTORADO;3
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016047P0;EDUCAÇÃO FÍSICA;CIÊNCIAS DA SAÚDE;EDUCAÇÃO FÍSICA;EDUCAÇÃO FÍSICA;MESTRADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016048P6;ECOLOGIA E CONSERVAÇÃO;CIÊNCIAS BIOLÓGICAS;BIODIVERSIDADE;ECOLOGIA;DOUTORADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016054P6;SISTEMAS COSTEIROS E OCEÂNICOS;CIÊNCIAS BIOLÓGICAS;BIODIVERSIDADE;ECOLOGIA;DOUTORADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016054P6;SISTEMAS COSTEIROS E OCEÂNICOS;CIÊNCIAS BIOLÓGICAS;BIODIVERSIDADE;ECOLOGIA;MESTRADO;2
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016072P4;FISIOLOGIA;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS II;FISIOLOGIA;DOUTORADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016072P4;FISIOLOGIA;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS II;FISIOLOGIA;MESTRADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016076P0;POLÍTICAS PÚBLICAS;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;DOUTORADO;1
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016077P6;CIÊNCIA ANIMAL;CIÊNCIAS AGRÁRIAS;MEDICINA VETERINÁRIA;MEDICINA VETERINÁRIA;MESTRADO;3
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;40001016078P2;AQUICULTURA E DESENVOLVIMENTO SUSTENTÁVEL;CIÊNCIAS AGRÁRIAS;ZOOTECNIA / RECURSOS PESQUEIROS;AQUICULTURA;MESTRADO;2
2014;CURITIBA;PR;SUL;40001016;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;FEDERAL;ARAUCÁRIA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADA;PÓS-DOUTORADO;28
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012003P9;CIÊNCIAS DE ALIMENTOS;CIÊNCIAS AGRÁRIAS;CIÊNCIA DE ALIMENTOS;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;DOUTORADO;3
2014;LONDRINA;PR;SUL;40002012;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;ESTADUAL;ARAUCÁRIA;40002012003P9;CIÊNCIAS DE ALIMENTOS;CIÊNCIAS AGRÁRIAS;CIÊNCIA DE ALIMENTOS;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;MESTRADO;2
